cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,,,,,,,,,,,,,,,,,
bn7h0kcw,a3e7f6f86be44d7e5cad642fc7ac1c22308b44e8,PMC,Survival in Idiopathic pulmonary fibrosis acute exacerbations: the non-steroid approach,10.1186/s12890-015-0146-4,PMC4678631,26666385,cc-by,"BACKGROUND: Idiopathic pulmonary fibrosis acute exacerbation (IPF-AE) constitutes IPF’s most devastating event, representing the unexpected superimposition of diffuse alveolar damage of unknown etiology. Guidelines recommend high-dose steroids treatment despite unproven benefit. We hypothesized that previous immunosuppression and the administration of high-dose steroids adversely affect IPF-AE outcome. METHODS: We studied all consecutive patients hospitalized in our department for IPF deterioration from 2007 to June 2013. Our protocol consisted of immediate cessation of immunosuppression (if any), best supportive care, broad-spectrum antimicrobials and thorough evaluation to detect reversible causes of deterioration. Patients were followed-up for survival; post-discharge none received immunosuppression. RESULTS: Twenty-four out of 85 admissions (28 %) fulfilled IPF-AE criteria. IPF-AE were analyzed both as unique events and as unique patients. As unique events 50 % survived; 3 out of 12 (25 %) in the group previously treated with immunosuppression whereas nine out of 12 (75 %) in the group not receiving immunosuppression (p = 0.041). As unique patients 35.3 % survived; 3 out of 6 (50 %) in the never treated group whereas three out of 11 (27.3 %) in the group receiving immunosuppression (p = 0.685). The history of immunosuppression significantly and adversely influenced survival (p = 0.035). Survival was greater in the never treated group compared to the immunosuppressed patients (p = 0.022). Post-discharge, our IPF-AE survivors had an 83 % 1-year survival. CONCLUSIONS: By applying the above mentioned protocol half of our patients survived. The history of immunosuppression before IPF-AE adversely influences survival. Avoiding steroids in IPF patients may favor the natural history of the disease even at the moment of its most devastating event.",12/14/15,"Papiris, Spyros A; Kagouridis, Konstantinos; Kolilekas, Likurgos; Papaioannou, Andriana I; Roussou, Aneza; Triantafillidou, Christina; Baou, Katerina; Malagari, Katerina; Argentos, Stylianos; Kotanidou, Anastasia; Karakatsani, Anna; Manali, Effrosyni D",BMC Pulm Med,,,,document_parses/pdf_json/a3e7f6f86be44d7e5cad642fc7ac1c22308b44e8.json,document_parses/pmc_json/PMC4678631.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4678631/,,,,,,,,,,,,,,,,,,
qutbqcwb,8f9fb1b2ed8b56d2524c9cf458277e377711397c; 1412106d8254d159356dda94db652655e51bd729,PMC,CVTree3 Web Server for Whole-genome-based and Alignment-free Prokaryotic Phylogeny and Taxonomy,10.1016/j.gpb.2015.08.004,PMC4678791,26563468,cc-by,"A faithful phylogeny and an objective taxonomy for prokaryotes should agree with each other and ultimately follow the genome data. With the number of sequenced genomes reaching tens of thousands, both tree inference and detailed comparison with taxonomy are great challenges. We now provide one solution in the latest Release 3.0 of the alignment-free and whole-genome-based web server CVTree3. The server resides in a cluster of 64 cores and is equipped with an interactive, collapsible, and expandable tree display. It is capable of comparing the tree branching order with prokaryotic classification at all taxonomic ranks from domains down to species and strains. CVTree3 allows for inquiry by taxon names and trial on lineage modifications. In addition, it reports a summary of monophyletic and non-monophyletic taxa at all ranks as well as produces print-quality subtree figures. After giving an overview of retrospective verification of the CVTree approach, the power of the new server is described for the mega-classification of prokaryotes and determination of taxonomic placement of some newly-sequenced genomes. A few discrepancies between CVTree and 16S rRNA analyses are also summarized with regard to possible taxonomic revisions. CVTree3 is freely accessible to all users at http://tlife.fudan.edu.cn/cvtree3/ without login requirements.",11/10/2015,"Zuo, Guanghong; Hao, Bailin",Genomics Proteomics Bioinformatics,,,,document_parses/pdf_json/8f9fb1b2ed8b56d2524c9cf458277e377711397c.json; document_parses/pdf_json/1412106d8254d159356dda94db652655e51bd729.json,document_parses/pmc_json/PMC4678791.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4678791/,,,,,,,,,,,,,,,,,,
a3cd0ece,73962bb05d0fa45657756857801fbb3f9e139b04,PMC,TGF-βI Regulates Cell Migration through Pluripotent Transcription Factor OCT4 in Endometriosis,10.1371/journal.pone.0145256,PMC4682958,26675296,cc-by,"Transforming growth factor (TGF-β)/TGF-β receptor signal is known to promote cell migration. Up-regulation of TGF-β in serum/peritoneal fluid and increased levels of pluripotent transcription factor OCT4 in endometriotic tissues are frequently observed in patients with endometriosis. However, the mechanisms underlying how TGF-β/TGF-β receptor and OCT4 affect endometriotic cell migration still remain largely unknown. Therefore, endometriotic tissue with high cell migratory capacity were collected from patients with adenomyotic myometrium (n = 23) and chocolate cyst (n = 24); and endometrial tissue with low cell migratory capacity in normal endometrium or hyperplastic endometrium (n = 8) were collected as the controls. We found the mRNA levels of TGF-β receptor I (TGF-β RI) and OCT4 were significantly higher in the high-migratory ectopic endometriotic tissues than those of the low-migratory normal or hyperplastic endometrium. Positive correlations between TGF-β RI and OCT4, and either TGF-β RI or OCT4 with migration-related genes (SNAIL, SLUG and TWIST) regarding the mRNA levels were observed in human endometriotic tissues. TGF-βI dose-dependently increased the gene and protein levels of OCT4, SNAIL and N-Cadherin (N-CAD) and silencing of endogenous OCT4 significantly suppressed the TGF-βI-induced expressions of N-CAD and SNAIL in primary human endometriotic stromal cells and human endometrial carcinoma cell lines RL95-2 and HEC1A. Furthermore, TGF-βI significantly increased the migration ability of endometriotic cells and silencing of OCT4 dramatically suppressed the TGF-βI-induced cell migration activity evidenced by wound-closure assay, transwell assay, and confocal image of F-actin cellular distribution. In conclusion, the present findings demonstrate that the niche TGF-β plays a critical role in initiating expressions of pluripotent transcription factor OCT4 which may contribute to the ectopic endometrial growth by stimulating endometrial cell migration. These findings would be useful for developing therapeutic strategies targeting TGF-β-OCT4 signaling to prevent endometriosis in the future.",12/16/15,"Au, Heng-Kien; Chang, Jui-Hung; Wu, Yu-Chih; Kuo, Yung-Che; Chen, Yu-Hsi; Lee, Wei-Chin; Chang, Te-Sheng; Lan, Pei-Chi; Kuo, Hung-Chih; Lee, Kha-Liang; Lee, Mei-Tsu; Tzeng, Chii-Ruey; Huang, Yen-Hua",PLoS One,,,,document_parses/pdf_json/73962bb05d0fa45657756857801fbb3f9e139b04.json,document_parses/pmc_json/PMC4682958.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4682958/,,,,,,,,,,,,,,,,,,
shzu8ddn,963cc6ca5e9eecf735dfcb89e2320a22fa4bcec6,PMC,Complete Genome Sequence of the Porcine Epidemic Diarrhea Virus Variant CH/HNYF/2014,10.1128/genomea.01486-15,PMC4683238,26679593,cc-by,"Sow’s milk is a potential route for the vertical transmission of porcine epidemic diarrhea virus (PEDV) from sow to suckling piglet. We report here the complete genome sequence of PEDV strain CH/HNYF/2014, which was isolated from milk samples. This information provides further understanding of the transmission mechanisms and genetic diversity of PEDV.",12/17/15,"Li, Renfeng; Tian, Xiangqin; Qiao, Songlin; Guo, Junqing; Xie, Weitao; Zhang, Gaiping",Genome Announc,,,,document_parses/pdf_json/963cc6ca5e9eecf735dfcb89e2320a22fa4bcec6.json,document_parses/pmc_json/PMC4683238.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683238/,,,,,,,,,,,,,,,,,,
zvnqiy9p,4e0773d0ae56a69211b358144a99bbecbad56bac,PMC,Expression of arginase I and inducible nitric oxide synthase in the peripheral blood and lymph nodes of HIV-positive patients,10.3892/mmr.2015.4601,PMC4686052,26647762,cc-by-nc-nd,"Arginase I (Arg I) and inducible nitric oxide synthase (iNOS) are important in regulating immune functions through their metabolites. Previous studies have revealed that the expression of Arg I is increased and the expression of iNOS is reduced in the serum and peripheral blood mononuclear cells of human immunodeficiency virus (HIV)-infected patients. As one of the most important immune organs and HIV replication sites, whether similar changes are present in the lymph nodes following HIV infection remains to be elucidated. To investigate this, the present study collected lymph node and blood specimens from 52 HIV-infected patients to measure the expression levels of Arg I and iNOS by immunohistochemistry and fluoresence-based flow cytometry. Compared with control subjects without HIV infection, the patients with HIV had significantly higher expression levels of Arg I in the lymph nodes and higher frequencies of Arg I(+) CD4(+) T cells and CD8(+) T cells in the blood and lymph nodes, and these results were contrary the those of iNOS in the corresponding compartments. The expression levels of Arg I in the lymph nodes and blood were negatively associated with peripheral CD4(+) T cell count and positively associated with viral load. However, the expression levels of iNOS in the lymph nodes and blood were positively associated with peripheral CD4(+) T cell count and negatively associated with viral load. These results showed that alterations in the expression levels of Arg I and iNOS in the peripheral T cells and peripheral nodes of HIV infected patients are associated with disease progression in these patients. These results indicate a potential to therapeutic strategy for delaying disease progression through regulating and manipulating the expression levels of Arg I and iNOS in patients infected with HIV.",11/23/15,"ZHANG, NAICHUN; DENG, JIANNING; WU, FENGYAO; LU, XIANGCHAN; HUANG, LEI; ZHAO, MIN",Mol Med Rep,,,,document_parses/pdf_json/4e0773d0ae56a69211b358144a99bbecbad56bac.json,document_parses/pmc_json/PMC4686052.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4686052/,,,,,,,,,,,,,,,,,,
mahp1wkn,f28c1e92be3354c2df1cb282177ef962c3b5c9c6,PMC,Strategies for Pharmacological Organoprotection during Extracorporeal Circulation Targeting Ischemia-Reperfusion Injury,10.3389/fphar.2015.00296,PMC4686733,26733868,cc-by,"Surgical correction of congenital cardiac malformations or aortocoronary bypass surgery in many cases implies the use of cardiopulmonary-bypass (CPB). However, a possible negative impact of CPB on internal organs such as brain, kidney, lung and liver cannot be neglected. In general, CPB initiates a systemic inflammatory response (SIRS) which is presumably caused by contact of blood components with the surface of CPB tubing. Moreover, during CPB the heart typically undergoes a period of cold ischemia, and the other peripheral organs a global low flow hypoperfusion. As a result, a plethora of pro-inflammatory mediators and cytokines is released activating different biochemical pathways, which finally may result in the occurrence of microthrombosis, microemboli, in depletion of coagulation factors and haemorrhagic diathesis besides typical ischemia-reperfusion injuries. In our review we will focus on possible pharmacological interventions in patients to decrease negative effects of CPB and to improve post-operative outcome with regard to heart and other organs like brain, kidney, or lung.",12/22/15,"Salameh, Aida; Dhein, Stefan",Front Pharmacol,,,,document_parses/pdf_json/f28c1e92be3354c2df1cb282177ef962c3b5c9c6.json,document_parses/pmc_json/PMC4686733.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4686733/,,,,,,,,,,,,,,,,,,
g42p98ku,575faff450d20d0f359d000ebc8b66b638094613,PMC,Gliopathy of Demyelinating and Non-Demyelinating Strains of Mouse Hepatitis Virus,10.3389/fncel.2015.00488,PMC4686739,26733813,cc-by,"Demyelination in the central nervous system induced by neurovirulent strains of Mouse Hepatitis Virus (MHV) is mediated by the viral spike glycoprotein, but it is not clear whether the mechanism of this disease pathology involves direct viral infection of oligodendrocytes. Detailed studies of glial cell tropism of MHV are presented, demonstrating that direct MHV infection of oligodendrocytes differs between demyelinating (RSA59) and non-demyelinating (RSMHV2) viral strains both in vitro and in vivo. Our results indicate that direct injury of mature oligodendrocytes is an important mechanism of virus-induced demyelination. In vivo, RSA59 infection was identified in spinal cord gray and white matter, but infected oligodendrocytes were restricted to white matter. In contrast, RSMHV2 infection was restricted to gray matter neurons and was not localized to oligodendrocytes. In vitro, RSA59 can infect both oligodendrocyte precursors and differentiated oligodendrocytes, whereas RSMHV2 can infect oligodendrocyte precursors but not differentiated oligodendrocytes. Viral spreading through axonal means to white matter and release of the demyelinating strain MHV at the nerve end is critical for oligodendrocytes infection and subsequent demyelination. Understanding the mechanisms by which known viruses effect demyelination in this animal model has important therapeutic implications in the treatment of human demyelinating disease.",12/22/15,"Kenyon, Lawrence C.; Biswas, Kaushiki; Shindler, Kenneth S.; Nabar, Manasi; Stout, Marjorie; Hingley, Susan T.; Grinspan, Judith B.; Das Sarma, Jayasri",Front Cell Neurosci,,,,document_parses/pdf_json/575faff450d20d0f359d000ebc8b66b638094613.json,document_parses/pmc_json/PMC4686739.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4686739/,,,,,,,,,,,,,,,,,,
4ovrrf62,27ea5838cb5cf114ddeecd9972be98813834ef9c,PMC,Risk Distribution of Human Infections with Avian Influenza H7N9 and H5N1 virus in China,10.1038/srep18610,PMC4686887,26691585,cc-by,"It has been documented that the epidemiological characteristics of human infections with H7N9 differ significantly between H5N1. However, potential factors that may explain the different spatial distributions remain unexplored. We use boosted regression tree (BRT) models to explore the association of agro-ecological, environmental and meteorological variables with the occurrence of human cases of H7N9 and H5N1, and map the probabilities of occurrence of human cases. Live poultry markets, density of human, coverage of built-up land, relative humidity and precipitation were significant predictors for both. In addition, density of poultry, coverage of shrub and temperature played important roles for human H7N9 infection, whereas human H5N1 infection was associated with coverage of forest and water body. Based on the risks and distribution of ecological characteristics which may facilitate the circulation of the two viruses, we found Yangtze River Delta and Pearl River Delta, along with a few spots on the southeast coastline, to be the high risk areas for H7N9 and H5N1. Additional, H5N1 risk spots were identified in eastern Sichuan and southern Yunnan Provinces. Surveillance of the two viruses needs to be enhanced in these high risk areas to reduce the risk of future epidemics of avian influenza in China.",12/22/15,"Li, Xin-Lou; Yang, Yang; Sun, Ye; Chen, Wan-Jun; Sun, Ruo-Xi; Liu, Kun; Ma, Mai-Juan; Liang, Song; Yao, Hong-Wu; Gray, Gregory C.; Fang, Li-Qun; Cao, Wu-Chun",Sci Rep,,,,document_parses/pdf_json/27ea5838cb5cf114ddeecd9972be98813834ef9c.json,document_parses/pmc_json/PMC4686887.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4686887/,,,,,,,,,,,,,,,,,,
t0oz35cm,1632c0c8db42cc76baa9078fa47999f548e8ab64; 73160414a91cb35ebfbcea9203bc28d03bc76a3b; 6502022823ddd26fd65f827e84e99788b45dd574,PMC,Flunarizine Prevents Hepatitis C Virus Membrane Fusion in a Genotype-dependent Manner by Targeting the Potential Fusion Peptide within E1,10.1002/hep.28111,PMC4688136,26248546,green-oa,"To explore mechanisms of hepatitis C virus (HCV) replication we screened a compound library including licensed drugs. Flunarizine, a diphenylmethylpiperazine used to treat migraine, inhibited HCV cell entry in vitro and in vivo in a genotype-dependent fashion. Analysis of mosaic viruses between susceptible and resistant strains revealed that E1 and E2 glycoproteins confer susceptibility to flunarizine. Time of addition experiments and single particle tracking of HCV demonstrated that flunarizine specifically prevents membrane fusion. Related phenothiazines and pimozide also inhibited HCV infection and preferentially targeted HCV genotype 2 viruses. However, phenothiazines and pimozide exhibited improved genotype coverage including the difficult to treat genotype 3. Flunarizine-resistant HCV carried mutations within the alleged fusion peptide and displayed cross-resistance to these compounds, indicating that these drugs have a common mode of action. Conclusion: These observations reveal novel details about HCV membrane fusion. Moreover, flunarizine and related compounds represent first-in-class HCV fusion inhibitors that merit consideration for repurposing as cost-effective component of HCV combination therapies.",10/09/2015,"Perin, Paula M.; Haid, Sibylle; Brown, Richard J. P.; Doerrbecker, Juliane; Schulze, Kai; Zeilinger, Carsten; von Schaewen, Markus; Heller, Brigitte; Vercauteren, Koen; Luxenburger, Eva; Baktash, Yasmine M.; Vondran, Florian W. R.; Speerstra, Sietkse; Awadh, Abdullah; Mukhtarov, Furkat; Schang, Luis M; Kirschning, Andreas; Müller, Rolf; Guzman, Carlos A.; Kaderali, Lars; Randall, Glenn; Meuleman, Philip; Ploss, Alexander; Pietschmann, Thomas",Hepatology,,,,document_parses/pdf_json/1632c0c8db42cc76baa9078fa47999f548e8ab64.json; document_parses/pdf_json/73160414a91cb35ebfbcea9203bc28d03bc76a3b.json; document_parses/pdf_json/6502022823ddd26fd65f827e84e99788b45dd574.json,document_parses/pmc_json/PMC4688136.xml.json,http://europepmc.org/articles/pmc4688136?pdf=render,,,,,,,,,,,,,,,,,,
d6ycc8ci,86effe356ffd602c096c4252ef1775dab6f62e1f,PMC,Viral Infection at High Magnification: 3D Electron Microscopy Methods to Analyze the Architecture of Infected Cells,10.3390/v7122940,PMC4690864,26633469,cc-by,"As obligate intracellular parasites, viruses need to hijack their cellular hosts and reprogram their machineries in order to replicate their genomes and produce new virions. For the direct visualization of the different steps of a viral life cycle (attachment, entry, replication, assembly and egress) electron microscopy (EM) methods are extremely helpful. While conventional EM has given important information about virus-host cell interactions, the development of three-dimensional EM (3D-EM) approaches provides unprecedented insights into how viruses remodel the intracellular architecture of the host cell. During the last years several 3D-EM methods have been developed. Here we will provide a description of the main approaches and examples of innovative applications.",12/03/2015,"Romero-Brey, Inés; Bartenschlager, Ralf",Viruses,,,,document_parses/pdf_json/86effe356ffd602c096c4252ef1775dab6f62e1f.json,document_parses/pmc_json/PMC4690864.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690864/,,,,,,,,,,,,,,,,,,
64l96jwp,6c9ce983d25f6c0727c9e4fedc01e84b046673a4,PMC,Molecular Epidemiology of Human Rhinoviruses and Enteroviruses Highlights Their Diversity in Sub-Saharan Africa,10.3390/v7122948,PMC4690871,26670243,cc-by,"Human rhinoviruses (HRVs) and enteroviruses (HEVs) belong to the Enterovirus genus and are the most frequent cause of infection worldwide, but data on their molecular epidemiology in Africa are scarce. To understand HRV and HEV molecular epidemiology in this setting, we enrolled febrile pediatric patients participating in a large prospective cohort assessing the causes of fever in Tanzanian children. Naso/oropharyngeal swabs were systematically collected and tested by real-time RT-PCR for HRV and HEV. Viruses from positive samples were sequenced and phylogenetic analyses were then applied to highlight the HRV and HEV types as well as recombinant or divergent strains. Thirty-eight percent (378/1005) of the enrolled children harboured an HRV or HEV infection. Although some types were predominant, many distinct types were co-circulating, including a vaccinal poliovirus, HEV-A71 and HEV-D68. Three HRV-A recombinants were identified: HRV-A36/HRV-A67, HRV-A12/HRV-A67 and HRV-A96/HRV-A61. Four divergent HRV strains were also identified: one HRV-B strain and three HRV-C strains. This is the first prospective study focused on HRV and HEV molecular epidemiology in sub-Saharan Africa. This systematic and thorough large screening with careful clinical data management confirms the wide genomic diversity of these viruses, brings new insights about their evolution and provides data about associated symptoms.",12/08/2015,"L’Huillier, Arnaud G.; Kaiser, Laurent; Petty, Tom J.; Kilowoko, Mary; Kyungu, Esther; Hongoa, Philipina; Vieille, Gaël; Turin, Lara; Genton, Blaise; D’Acremont, Valérie; Tapparel, Caroline",Viruses,,,,document_parses/pdf_json/6c9ce983d25f6c0727c9e4fedc01e84b046673a4.json,document_parses/pmc_json/PMC4690871.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690871/,,,,,,,,,,,,,,,,,,
4hygz05o,277e85da79677586ae01bb02ea6e410ebc97fd29,PMC,Recent Progress towards Novel EV71 Anti-Therapeutics and Vaccines,10.3390/v7122949,PMC4690872,26670245,cc-by,"Enterovirus 71 (EV71) is a group of viruses that belongs to the Picornaviridae family, which also includes viruses such as polioviruses. EV71, together with coxsackieviruses, is widely known for its association with Hand Foot Mouth Disease (HFMD), which generally affects children age five and below. Besides HFMD, EV71 can also trigger more severe and life-threatening neurological conditions such as encephalitis. Considering the lack of a vaccine and antiviral drug against EV71, together with the increasing spread of these viruses, the development of such drugs and vaccines becomes the top priority in protecting our younger generations. This article, hence, reviews some of the recent progress in the formulations of anti-therapeutics and vaccine generation for EV71, covering (i) inactivated vaccines; (ii) baculovirus-expressed vaccines against EV71; (iii) human intravenous immunoglobulin (IVIg) treatment; and (iv) the use of monoclonal antibody therapy as a prevention and treatment for EV71 infections.",12/08/2015,"Ng, Qingyong; He, Fang; Kwang, Jimmy",Viruses,,,,document_parses/pdf_json/277e85da79677586ae01bb02ea6e410ebc97fd29.json,document_parses/pmc_json/PMC4690872.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690872/,,,,,,,,,,,,,,,,,,
kbiwze0z,8bae8e6308d50b3a053a98be3b0fd641c775c1ca,PMC,Two novel regulators of N‐acetyl‐galactosamine utilization pathway and distinct roles in bacterial infections,10.1002/mbo3.307,PMC4694137,26540018,cc-by,"Bacterial pathogens can exploit metabolic pathways to facilitate their successful infection cycles, but little is known about roles of d‐galactosamine (GalN)/N‐acetyl‐d‐galactosamine (GalNAc) catabolism pathway in bacterial pathogenesis. Here, we report the genomic reconstruction of GalN/GalNAc utilization pathway in Streptococci and the diversified aga regulons. We delineated two new paralogous AgaR regulators for the GalN/GalNAc catabolism pathway. The electrophoretic mobility shift assays experiment demonstrated that AgaR2 (AgaR1) binds the predicted palindromes, and the combined in vivo data from reverse transcription quantitative polymerase chain reaction and RNA‐seq suggested that AgaR2 (not AgaR1) can effectively repress the transcription of the target genes. Removal of agaR2 (not agaR1) from Streptococcus suis 05ZYH33 augments significantly the abilities of both adherence to Hep‐2 cells and anti‐phagocytosis against RAW264.7 macrophage. As anticipated, the dysfunction in AgaR2‐mediated regulation of S. suis impairs its pathogenicity in experimental models of both mice and piglets. Our finding discovered two novel regulators specific for GalN/GalNAc catabolism and assigned them distinct roles into bacterial infections. To the best of our knowledge, it might represent a first paradigm that links the GalN/GalNAc catabolism pathway to bacterial pathogenesis.",11/05/2015,"Zhang, Huimin; Ravcheev, Dmitry A.; Hu, Dan; Zhang, Fengyu; Gong, Xiufang; Hao, Lina; Cao, Min; Rodionov, Dmitry A.; Wang, Changjun; Feng, Youjun",Microbiologyopen,,,,document_parses/pdf_json/8bae8e6308d50b3a053a98be3b0fd641c775c1ca.json,document_parses/pmc_json/PMC4694137.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4694137/,,,,,,,,,,,,,,,,,,
5op0yss9,5819ca9f401da096d402b6d1956a4fe6ba1c74b0,PMC,A simple novel device for air sampling by electrokinetic capture,10.1186/s40168-015-0141-2,PMC4696304,26715467,cc-by,"BACKGROUND: A variety of different sampling devices are currently available to acquire air samples for the study of the microbiome of the air. All have a degree of technical complexity that limits deployment. Here, we evaluate the use of a novel device, which has no technical complexity and is easily deployable. RESULTS: An air-cleaning device powered by electrokinetic propulsion has been adapted to provide a universal method for collecting samples of the aerobiome. Plasma-induced charge in aerosol particles causes propulsion to and capture on a counter-electrode. The flow of ions creates net bulk airflow, with no moving parts. A device and electrode assembly have been re-designed from air-cleaning technology to provide an average air flow of 120 lpm. This compares favorably with current air sampling devices based on physical air pumping. Capture efficiency was determined by comparison with a 0.4 μm polycarbonate reference filter, using fluorescent latex particles in a controlled environment chamber. Performance was compared with the same reference filter method in field studies in three different environments. For 23 common fungal species by quantitative polymerase chain reaction (qPCR), there was 100 % sensitivity and apparent specificity of 87 %, with the reference filter taken as “gold standard.” Further, bacterial analysis of 16S RNA by amplicon sequencing showed equivalent community structure captured by the electrokinetic device and the reference filter. Unlike other current air sampling methods, capture of particles is determined by charge and so is not controlled by particle mass. We analyzed particle sizes captured from air, without regard to specific analyte by atomic force microscopy: particles at least as low as 100 nM could be captured from ambient air. CONCLUSIONS: This work introduces a very simple plug-and-play device that can sample air at a high-volume flow rate with no moving parts and collect particles down to the sub-micron range. The performance of the device is substantially equivalent to capture by pumping through a filter for microbiome analysis by quantitative PCR and amplicon sequencing.",12/27/15,"Gordon, Julian; Gandhi, Prasanthi; Shekhawat, Gajendra; Frazier, Angel; Hampton-Marcell, Jarrad; Gilbert, Jack A.",Microbiome,,,,document_parses/pdf_json/5819ca9f401da096d402b6d1956a4fe6ba1c74b0.json,document_parses/pmc_json/PMC4696304.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696304/,,,,,,,,,,,,,,,,,,
ww2pffng,32218139d22cdbdbf2f41f043b08a3922ab7f327; db84b748e88449893a5a19327b27f87fce353353,PMC,Live Cell Analysis and Mathematical Modeling Identify Determinants of Attenuation of Dengue Virus 2’-O-Methylation Mutant,10.1371/journal.ppat.1005345,PMC4697809,26720415,cc-by,"Dengue virus (DENV) is the most common mosquito-transmitted virus infecting ~390 million people worldwide. In spite of this high medical relevance, neither a vaccine nor antiviral therapy is currently available. DENV elicits a strong interferon (IFN) response in infected cells, but at the same time actively counteracts IFN production and signaling. Although the kinetics of activation of this innate antiviral defense and the timing of viral counteraction critically determine the magnitude of infection and thus disease, quantitative and kinetic analyses are lacking and it remains poorly understood how DENV spreads in IFN-competent cell systems. To dissect the dynamics of replication versus antiviral defense at the single cell level, we generated a fully viable reporter DENV and host cells with authentic reporters for IFN-stimulated antiviral genes. We find that IFN controls DENV infection in a kinetically determined manner that at the single cell level is highly heterogeneous and stochastic. Even at high-dose, IFN does not fully protect all cells in the culture and, therefore, viral spread occurs even in the face of antiviral protection of naïve cells by IFN. By contrast, a vaccine candidate DENV mutant, which lacks 2’-O-methylation of viral RNA is profoundly attenuated in IFN-competent cells. Through mathematical modeling of time-resolved data and validation experiments we show that the primary determinant for attenuation is the accelerated kinetics of IFN production. This rapid induction triggered by mutant DENV precedes establishment of IFN-resistance in infected cells, thus causing a massive reduction of virus production rate. In contrast, accelerated protection of naïve cells by paracrine IFN action has negligible impact. In conclusion, these results show that attenuation of the 2’-O-methylation DENV mutant is primarily determined by kinetics of autocrine IFN action on infected cells.",12/31/15,"Schmid, Bianca; Rinas, Melanie; Ruggieri, Alessia; Acosta, Eliana Gisela; Bartenschlager, Marie; Reuter, Antje; Fischl, Wolfgang; Harder, Nathalie; Bergeest, Jan-Philip; Flossdorf, Michael; Rohr, Karl; Höfer, Thomas; Bartenschlager, Ralf",PLoS Pathog,,,,document_parses/pdf_json/32218139d22cdbdbf2f41f043b08a3922ab7f327.json; document_parses/pdf_json/db84b748e88449893a5a19327b27f87fce353353.json,document_parses/pmc_json/PMC4697809.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4697809/,,,,,,,,,,,,,,,,,,
t9vrbnq1,a60e292d31e4bb27e20f3ace17fc295ad60990c8,PMC,"Pre-Travel Medical Preparation of Business and Occupational Travelers: An Analysis of the Global TravEpiNet Consortium, 2009 to 2012",10.1097/jom.0000000000000602,PMC4697958,26479857,cc-by-nc-nd,"The aim of the study was to understand more about pre-travel preparations and itineraries of business and occupational travelers. METHODS: De-identified data from 18 Global TravEpiNet clinics from January 2009 to December 2012 were analyzed. RESULTS: Of 23,534 travelers, 61% were non-occupational and 39% occupational. Business travelers were more likely to be men, had short times to departure and shorter trip durations, and commonly refused influenza, meningococcal, and hepatitis B vaccines. Most business travelers indicated that employers suggested the pre-travel health consultation, whereas non-occupational travelers sought consultations because of travel health concerns. CONCLUSIONS: Sub-groups of occupational travelers have characteristic profiles, with business travelers being particularly distinct. Employers play a role in encouraging business travelers to seek pre-travel consultations. Such consultations, even if scheduled immediately before travel, can identify vaccination gaps and increase coverage.",12/30/15,"Khan, Nomana M.; Jentes, Emily S.; Brown, Clive; Han, Pauline; Rao, Sowmya R.; Kozarsky, Phyllis; Hagmann, Stefan H.F.; LaRocque, Regina C.; Ryan, Edward T.",J Occup Environ Med,,,,document_parses/pdf_json/a60e292d31e4bb27e20f3ace17fc295ad60990c8.json,document_parses/pmc_json/PMC4697958.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4697958/,,,,,,,,,,,,,,,,,,
